"duration","item","trial","participant"
0.483308100374416,"noFix",1,"sub01"
0.724971300223842,"up",1,"sub01"
1.14989689970389,"left",1,"sub01"
0.400005699833855,"noFix",2,"sub01"
0.624998999992386,"up",2,"sub01"
0.633326999843121,"noFix",2,"sub01"
0.908320699818432,"left",2,"sub01"
0.908332800026983,"noFix",2,"sub01"
0.924979899777099,"right",2,"sub01"
0.933317900169641,"noFix",2,"sub01"
1.34164319979027,"right",2,"sub01"
0.716766799800098,"noFix",3,"sub01"
0.733359399950132,"right",3,"sub01"
0.733367499895394,"noFix",3,"sub01"
0.941689900122583,"right",3,"sub01"
0.950042399810627,"noFix",3,"sub01"
0.949963300256059,"up",3,"sub01"
0.400075999787077,"noFix",4,"sub01"
0.616624000249431,"up",4,"sub01"
0.649955899920315,"noFix",4,"sub01"
0.999966100323945,"right",4,"sub01"
0.999962600180879,"noFix",4,"sub01"
1.26658520009369,"left",4,"sub01"
0.500013000331819,"noFix",5,"sub01"
0.77502500009723,"right",5,"sub01"
0.774997699772939,"noFix",5,"sub01"
1.04168489994481,"left",5,"sub01"
1.04998230026104,"noFix",5,"sub01"
1.20000559999608,"up",5,"sub01"
0.333324999781325,"noFix",6,"sub01"
0.733331199968234,"left",6,"sub01"
0.749992900528014,"noFix",6,"sub01"
1.09164160001092,"up",6,"sub01"
1.10832850006409,"noFix",6,"sub01"
1.17497729999013,"left",6,"sub01"
0.499985200120136,"noFix",7,"sub01"
0.783303200034425,"right",7,"sub01"
0.80000239983201,"noFix",7,"sub01"
1.15827540005557,"up",7,"sub01"
1.1833327000495,"noFix",7,"sub01"
1.42493919981644,"right",7,"sub01"
0.500075400108472,"noFix",8,"sub01"
0.766638400033116,"left",8,"sub01"
0.766625700052828,"noFix",8,"sub01"
1.13329769973643,"right",8,"sub01"
1.13328300020657,"noFix",8,"sub01"
1.33324319985695,"left",8,"sub01"
0.49167270003818,"noFix",9,"sub01"
0.791691600112244,"left",9,"sub01"
0.816682100296021,"noFix",9,"sub01"
1.01669319998473,"up",9,"sub01"
1.03336729994044,"noFix",9,"sub01"
1.04170220019296,"right",9,"sub01"
1.05002039996907,"noFix",9,"sub01"
1.20831300015561,"right",9,"sub01"
0.458310300018638,"noFix",10,"sub01"
0.683273199945688,"left",10,"sub01"
0.699986400315538,"noFix",10,"sub01"
1.01668879995123,"up",10,"sub01"
1.05832189973444,"noFix",10,"sub01"
1.07500550011173,"right",10,"sub01"
1.33335269987583,"noFix",10,"sub01"
1.34167729970068,"right",10,"sub01"
1.35001890012063,"noFix",10,"sub01"
1.47502479981631,"left",10,"sub01"
0.466675099916756,"noFix",11,"sub01"
0.683345300378278,"left",11,"sub01"
0.691660099895671,"noFix",11,"sub01"
0.925009199883789,"up",11,"sub01"
0.516704399837181,"noFix",12,"sub01"
0.733446500031278,"right",12,"sub01"
0.741643200162798,"noFix",12,"sub01"
0.525040699634701,"noFix",13,"sub01"
0.775009899633005,"right",13,"sub01"
0.775004699826241,"noFix",13,"sub01"
1.05835289997049,"left",13,"sub01"
0.499992600176483,"noFix",14,"sub01"
0.74159980006516,"right",14,"sub01"
0.74163300008513,"noFix",14,"sub01"
0.933339999988675,"left",14,"sub01"
0.691666800063103,"noFix",15,"sub01"
0.408285900019109,"left",15,"sub01"
0.416652899933979,"noFix",15,"sub01"
0.758277299813926,"up",15,"sub01"
0.466678499942645,"noFix",16,"sub01"
0.79166950006038,"right",16,"sub01"
0.791627599857748,"noFix",16,"sub01"
0.974989400012419,"left",16,"sub01"
0.516656899824739,"noFix",17,"sub01"
0.725055099930614,"left",17,"sub01"
0.733388500288129,"noFix",17,"sub01"
1.03334099985659,"up",17,"sub01"
1.05835829977877,"noFix",17,"sub01"
1.41666970029473,"right",17,"sub01"
1.41665449994616,"noFix",17,"sub01"
1.64996730000712,"left",17,"sub01"
0.591731899883598,"noFix",18,"sub01"
0.800001699943095,"right",18,"sub01"
0.808331099804491,"noFix",18,"sub01"
1.04163650004193,"up",18,"sub01"
1.05833900021389,"noFix",18,"sub01"
1.23326569981873,"left",18,"sub01"
0.60002540005371,"noFix",19,"sub01"
1.04163330001757,"left",19,"sub01"
0.533339900197461,"noFix",20,"sub01"
0.774996699998155,"right",20,"sub01"
0.774970200145617,"noFix",20,"sub01"
1.07494149985723,"left",20,"sub01"
0.591656300006434,"noFix",21,"sub01"
0.858292700024322,"right",21,"sub01"
0.866627299925312,"noFix",21,"sub01"
1.17497520009056,"left",21,"sub01"
0.500022199936211,"noFix",22,"sub01"
0.67500749998726,"left",22,"sub01"
0.683281800011173,"noFix",22,"sub01"
0.916647299891338,"up",22,"sub01"
0.94998349994421,"noFix",22,"sub01"
1.44995060004294,"right",22,"sub01"
0.466648400062695,"noFix",23,"sub01"
0.766619000118226,"left",23,"sub01"
0.783310699742287,"noFix",23,"sub01"
1.23332780017518,"up",23,"sub01"
1.24992910004221,"noFix",23,"sub01"
1.45829429989681,"left",23,"sub01"
0.408318000147119,"noFix",24,"sub01"
0.424978700233623,"right",24,"sub01"
0.474979299819097,"noFix",24,"sub01"
0.616631000069901,"right",24,"sub01"
0.624966099625453,"noFix",24,"sub01"
0.849975000135601,"up",24,"sub01"
0.458399000344798,"noFix",25,"sub01"
0.724982399959117,"left",25,"sub01"
0.73331050015986,"noFix",25,"sub01"
0.866611400153488,"right",25,"sub01"
0.500056400196627,"noFix",26,"sub01"
0.783345900010318,"right",26,"sub01"
0.783329100115225,"noFix",26,"sub01"
0.983270699856803,"left",26,"sub01"
0.450032000197098,"noFix",27,"sub01"
