"subj","condition","nAlt","val1","val2","val3","upVal","leftVal","rightVal","rt","chosenPos","correctPos","conf","rt2","corr","targetPos","distractorPos","dudPos","chosenItem"
"sub01",0.95,3,100,90,86,100,86,90,0.790888099465519,"left","up",1,0.498417099472135,0,"up","right","left","dud"
"sub01",0.5,3,100,90,45,100,45,90,0.484297799877822,"up","up",4,0.0677177994512022,1,"up","right","left","target"
"sub01",0.7,3,100,90,63,100,63,90,0.444551500026137,"up","up",4,0.0385148995555937,1,"up","right","left","target"
"sub01",0,2,100,90,0,90,100,0,0.415471599437296,"up","left",2,0.545032699592412,0,"left","up","right","distractor"
"sub01",0.85,3,100,90,76,90,76,100,0.692166299559176,"up","right",2,0.240596399642527,0,"right","up","left","distractor"
"sub01",0.95,3,100,90,86,86,90,100,0.953608799725771,"right","right",2,0.421576499938965,1,"right","left","up","target"
"sub01",0.5,3,100,90,45,45,100,90,0.685975999571383,"left","left",4,0.0772751998156309,1,"left","right","up","target"
"sub01",0.3,3,100,90,27,27,100,90,0.462895199656487,"left","left",4,0.0825120997615159,1,"left","right","up","target"
"sub01",0.95,3,100,90,86,90,100,86,0.726574099622667,"left","left",4,0.137940099462867,1,"left","up","right","target"
"sub01",0.3,3,100,90,27,27,100,90,0.481941199395806,"left","left",4,0.0769797996617854,1,"left","right","up","target"
"sub01",0,2,100,90,0,100,0,90,0.549421099480242,"up","up",4,0.0650006993673742,1,"up","right","left","target"
"sub01",0.95,3,100,90,86,100,90,86,0.470026399474591,"up","up",2,0.208800299558789,1,"up","left","right","target"
"sub01",0.5,3,100,90,45,90,45,100,0.786761099472642,"up","right",4,0.100808299612254,0,"right","up","left","distractor"
"sub01",0,2,100,90,0,90,100,0,0.644784699659795,"left","left",4,0.0631038998253644,1,"left","up","right","target"
"sub01",0,2,100,90,0,90,0,100,0.496916199568659,"up","right",4,0.0850964998826385,0,"right","up","left","distractor"
"sub01",0.95,3,100,90,86,100,86,90,0.410526999272406,"up","up",1,0.0805391995236278,1,"up","right","left","target"
"sub01",0.7,3,100,90,63,63,90,100,0.468288799747825,"left","right",4,0.094192199409008,0,"right","left","up","distractor"
"sub01",0.95,3,100,90,86,86,100,90,0.531832899432629,"left","left",4,0.0100601995363832,1,"left","right","up","target"
"sub01",0.7,3,100,90,63,100,63,90,0.655511899851263,"up","up",4,0.105674799531698,1,"up","right","left","target"
"sub01",0.3,3,100,90,27,100,90,27,0.491168399807066,"up","up",3,0.150032999459654,1,"up","left","right","target"
"sub01",0.85,3,100,90,76,76,100,90,0.67185499984771,"left","left",1,0.831498499494046,1,"left","right","up","target"
"sub01",0.5,3,100,90,45,90,100,45,0.576462999451905,"up","left",2,0.0972981997765601,0,"left","up","right","distractor"
"sub01",0.5,3,100,90,45,100,45,90,0.505470699630678,"up","up",4,0.0128003996796906,1,"up","right","left","target"
"sub01",0.95,3,100,90,86,90,86,100,0.565167899709195,"up","right",4,0.0510277999565005,0,"right","up","left","distractor"
"sub01",0,2,100,90,0,0,100,90,0.490975799504668,"left","left",4,0.344182699918747,1,"left","right","up","target"
"sub01",0.85,3,100,90,76,76,90,100,0.804663199465722,"right","right",4,0.123010099399835,1,"right","left","up","target"
"sub01",0.5,3,100,90,45,100,90,45,0.628205299843103,"left","up",1,0.175435699522495,0,"up","left","right","distractor"
"sub01",0.5,3,100,90,45,45,90,100,0.429064399562776,"left","right",4,0.0710299992933869,0,"right","left","up","distractor"
"sub01",0.7,3,100,90,63,63,100,90,0.436248399782926,"left","left",4,0.0483904993161559,1,"left","right","up","target"
"sub01",0.3,3,100,90,27,90,100,27,0.651145000010729,"left","left",4,0.106053499504924,1,"left","up","right","target"
"sub01",0.5,3,100,90,45,90,45,100,0.513917099684477,"up","right",4,0.0628038994036615,0,"right","up","left","distractor"
"sub01",0.85,3,100,90,76,76,90,100,1.36254059942439,"left","right",2,1.38204249972478,0,"right","left","up","distractor"
"sub01",0.3,3,100,90,27,100,90,27,0.648577299900353,"left","up",4,0.137811199296266,0,"up","left","right","distractor"
"sub01",0.95,3,100,90,86,86,90,100,0.630178999621421,"left","right",2,0.113363199867308,0,"right","left","up","distractor"
"sub01",0.95,3,100,90,86,86,100,90,0.502970999572426,"up","left",3,0.474889999721199,0,"left","right","up","dud"
"sub01",0.85,3,100,90,76,100,76,90,0.554917099419981,"up","up",3,0.146911599673331,1,"up","right","left","target"
"sub01",0.5,3,100,90,45,45,100,90,0.478008899372071,"left","left",4,0.803834599908441,1,"left","right","up","target"
"sub01",0.7,3,100,90,63,90,63,100,0.602477399632335,"up","right",4,0.362738899420947,0,"right","up","left","distractor"
"sub01",0.7,3,100,90,63,63,90,100,0.480482699349523,"left","right",4,0.0644670999608934,0,"right","left","up","distractor"
"sub01",0.3,3,100,90,27,100,27,90,0.433277799747884,"up","up",4,0.114318699575961,1,"up","right","left","target"
"sub01",0.7,3,100,90,63,100,90,63,0.618736199568957,"left","up",3,0.0578168998472393,0,"up","left","right","distractor"
"sub01",0.5,3,100,90,45,90,100,45,0.725589199457318,"left","left",2,0.197612699586898,1,"left","up","right","target"
"sub01",0.5,3,100,90,45,90,45,100,0.558445899747312,"up","right",2,0.417857799679041,0,"right","up","left","distractor"
"sub01",0,2,100,90,0,100,0,90,0.558109999634326,"up","up",3,0.0567370993085206,1,"up","right","left","target"
"sub01",0.3,3,100,90,27,90,27,100,0.463711699936539,"up","right",3,0.100800699554384,0,"right","up","left","distractor"
"sub01",0.95,3,100,90,86,86,90,100,1.00742529984564,"left","right",1,0.0752866994589567,0,"right","left","up","distractor"
"sub01",0.95,3,100,90,86,90,100,86,0.864672099705786,"left","left",1,0.434398599434644,1,"left","up","right","target"
"sub01",0,2,100,90,0,0,90,100,0.499640999361873,"right","right",4,0.0475104996003211,1,"right","left","up","target"
"sub01",0.3,3,100,90,27,27,90,100,0.471308199688792,"left","right",4,0.0379067994654179,0,"right","left","up","distractor"
"sub01",0.7,3,100,90,63,90,63,100,0.609860099386424,"up","right",4,0.646015400066972,0,"right","up","left","distractor"
"sub01",0.95,3,100,90,86,90,100,86,0.533144099637866,"up","left",4,0.0849789995700121,0,"left","up","right","distractor"
"sub01",0.3,3,100,90,27,90,100,27,0.578689099755138,"up","left",1,0.749217699281871,0,"left","up","right","distractor"
"sub01",0.3,3,100,90,27,90,100,27,0.504951499402523,"left","left",1,0.00811839988455176,1,"left","up","right","target"
"sub01",0.3,3,100,90,27,100,90,27,0.668116099666804,"up","up",2,0.0700384993106127,1,"up","left","right","target"
"sub01",0.7,3,100,90,63,100,90,63,0.46190489968285,"up","up",3,0.0699815996922553,1,"up","left","right","target"
"sub01",0,2,100,90,0,100,0,90,0.40669639967382,"up","up",3,0.0207978994585574,1,"up","right","left","target"
"sub01",0.85,3,100,90,76,100,90,76,0.372962399851531,"left","up",4,0.112370299641043,0,"up","left","right","distractor"
"sub01",0,2,100,90,0,90,0,100,0.488629599567503,"up","right",3,0.409934999421239,0,"right","up","left","distractor"
