"trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","event","participant","Condition","UVal","LVal","RVal","item"
1,580.185332700144,580.218677900266,0.561019994318485,-2.131437510252,0.091114646910131,0.00582401472330093,0.0967340543866158,-0.0239759981632233,0.0333452001214027,"too short","sub04",0,90,100,0,"noFix"
1,580.252015000209,580.560327200219,-0.24049664195627,-0.574640095233917,0.0475129964819178,0.0891304897964001,-0.100438577122986,-0.141258001327515,0.308312200009823,"fixation","sub04",0,90,100,0,"noFix"
1,580.610325000249,580.876990400255,-0.18967947550118,6.53018128871918,0.0991052154907957,0.227695513486862,-0.0629954598844051,-0.213896036148071,0.266665400005877,"fixation","sub04",0,90,100,0,"up"
1,580.910317499656,581.293632199988,-0.189839605242014,8.40072083473206,0.0453774466328323,0.0863433490276337,0.0647876746952534,0.0954995155334473,0.383314700331539,"fixation","sub04",0,90,100,0,"up"
1,581.401964400429,581.826964499895,-7.9545841217041,-4.09910047054291,0.0844059285163879,0.129381231594086,-0.094118595123291,0.173449993133545,0.425000099465251,"fixation","sub04",0,90,100,0,"left"
1,581.926898899954,581.926898899954,-0.622545503079891,5.9909815788269,0,0,0.136465145274997,0.172996640205383,0,"blink","sub04",0,90,100,0,"up"
2,583.90189110022,583.91030499991,-0.253865433856845,-1.2302662730217,0,0,0.823207163251936,-0.747736154124141,0.0084138996899128,"blink","sub04",0.5,45,100,90,"noFix"
2,583.926970299799,584.22693929961,-1.94103145599365,0.559195786714554,0.12334137352109,0.0974568845048547,0.160509526729584,1.4370678961277,0.299968999810517,"fixation","sub04",0.5,45,100,90,"noFix"
2,584.251968600787,584.351963600144,-1.34297353029251,0.411827191710472,0.0522151794791222,0.0728297879397869,0.0431760251522064,-0.0758706778287888,0.0999949993565679,"fixation","sub04",0.5,45,100,90,"noFix"
2,584.40195700014,584.560283300001,-0.542622342705727,5.02032613754272,0.0215292363703251,0.183320418405533,-0.0730228535830975,-0.16255795955658,0.158326299861073,"fixation","sub04",0.5,45,100,90,"up"
2,584.635274800006,584.860281900037,-7.59079098701477,-5.78620767593384,0.131255202555656,0.165365786504745,-0.227248311042786,-0.237653493881226,0.22500710003078,"fixation","sub04",0.5,45,100,90,"left"
2,584.918593300506,585.026942800265,-0.431853294372559,-4.54637908935547,0.549358572864532,0.0718218856573105,0.656073808670044,0.152037560939789,0.108349499758333,"fixation","sub04",0.5,45,100,90,"noFix"
2,585.076938000042,585.143607200123,-1.76578211784363,-4.58467668294907,0.0322871605396271,0.0803577058553696,-0.264075756072998,-0.101243495941162,0.0666692000813782,"fixation","sub04",0.5,45,100,90,"noFix"
2,585.243600799702,585.401932800189,1.69520103931427,6.00961899757385,0.0667400009036064,0.248753694391251,0.213942646980286,0.365527510643005,0.158332000486553,"fixation","sub04",0.5,45,100,90,"up"
2,585.47691669967,585.726933899801,-8.28188705444336,-5.99369215965271,0.0726322371482849,0.210199697828293,-0.156918287277222,-0.208636403083801,0.250017200130969,"fixation","sub04",0.5,45,100,90,"left"
2,585.760266699828,585.876933400054,-7.04402637481689,-3.48450767993927,0.0783186600208282,0.269243657183647,0.198848724365234,0.179047822952271,0.116666700225323,"fixation","sub04",0.5,45,100,90,"left"
3,587.668563800398,588.126934200525,-0.280604626983404,-2.0131955742836,0.0815964522689581,0.0416920981764793,-0.0598093539738329,0.0631725490093231,0.458370400127023,"fixation","sub04",0.5,90,45,100,"noFix"
3,588.193601200357,588.510249200277,1.02167865633965,7.55739629268646,0.0356290430188179,0.0896558043479919,0.062766969203949,0.226301670074463,0.316647999919951,"fixation","sub04",0.5,90,45,100,"up"
3,588.543583699968,588.643582700286,-0.365577697753906,7.75856840610504,0.121666259567812,0.0589202415704727,-0.050853154156357,-0.11618435382843,0.0999990003183484,"fixation","sub04",0.5,90,45,100,"up"
3,588.735261000227,589.11024549976,8.95667028427124,-3.95723593235016,0.117997781467438,0.205650241398811,0.115087032318115,-0.384587049484253,0.374984499532729,"fixation","sub04",0.5,90,45,100,"right"
3,589.118582900148,589.126914900262,9.09932518005371,-4.02740478515625,0,0,0.189453363418579,0.182323813438416,0.00833200011402369,"blink","sub04",0.5,90,45,100,"right"
3,589.143566000275,589.185207900126,8.92353343963623,-4.13096261024475,0.0256244276046753,0.108318101978302,-0.177574157714844,0.142706036567688,0.0416418998502195,"fixation","sub04",0.5,90,45,100,"right"
3,589.276916700415,589.485217000358,0.71671985834837,7.96929287910461,0.058929299479723,0.113002587532997,-0.112978789955378,0.184069156646729,0.208300299942493,"fixation","sub04",0.5,90,45,100,"up"
