"trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","event","participant","Condition","UVal","LVal","RVal","item"
1,281.738315999974,281.880033500143,0.15166658652015,-2.02096581459045,0.0594760806548875,0.075136461853981,0.109970610588789,0.0741913318634033,0.141717500169761,"fixation","sub10",0.95,90,100,86,"noFix"
1,281.905039300094,282.146689899964,-1.92872941493988,0.54182805120945,0.0621127790093422,0.0855139096498489,-0.108225703239441,0.0693529471755028,0.241650599869899,"fixation","sub10",0.95,90,100,86,"noFix"
1,282.188379600062,282.313374700025,-0.17218641191721,8.20783042907715,0.0440513093451038,0.0510233353614807,-0.0692224949598312,0.155888795852661,0.124995099962689,"fixation","sub10",0.95,90,100,86,"up"
1,282.38004180009,282.53003959998,-12.1822845935822,-6.86653816699982,0.0486949666500091,0.0785049436569214,-0.0417318344116211,-0.19758927822113,0.149997799890116,"fixation","sub10",0.95,90,100,86,"left"
1,282.613372599939,282.705035400111,12.6349129676819,-6.27838802337646,0.0459480783462524,0.0535627312660217,0.0954313278198242,0.0589084625244141,0.0916628001723439,"fixation","sub10",0.95,90,100,86,"right"
1,282.771697400021,282.830008300021,0.146919982507825,8.97565603256226,0.0485454006850719,0.123780350732803,-0.0958828330039978,0.401041746139526,0.058310899999924,"fixation","sub10",0.95,90,100,86,"up"
2,285.221698899986,285.396691099973,0.463658332824707,-1.61461585760117,0.0443438452944159,0.0176603603124619,0.0343318209052086,0.0329435169696808,0.174992199987173,"fixation","sub10",0.3,27,90,100,"noFix"
2,285.421697600046,285.604977199924,-0.758300602436066,-0.556546285748482,0.0370205588042736,0.0582307689830661,0.0476027429103851,-0.0638258084654808,0.183279599878006,"fixation","sub10",0.3,27,90,100,"noFix"
2,285.646698199911,285.75502120005,-0.64818319119513,8.56367444992065,0.0538860682491213,0.0559939624786377,0.0598841607570648,0.122378587722778,0.108323000138626,"fixation","sub10",0.3,27,90,100,"up"
2,285.830043100053,285.938338399981,-10.6209444999695,-7.137779712677,0.0196781973838806,0.0569649703502655,-0.045928955078125,-0.144080877304077,0.108295299927704,"fixation","sub10",0.3,27,90,100,"left"
2,286.021658299956,286.296651499928,11.4327411651611,-7.26248693466187,0.0477465814590454,0.0722052340507507,0.083604097366333,0.0810346603393555,0.274993199971505,"fixation","sub10",0.3,27,90,100,"right"
2,286.396652300027,286.40499150008,-9.18613362312317,-5.66680502891541,0.0366059716701508,0.110260471200943,-0.0475089550018311,-0.0257515907287598,0.00833920005243272,"too short","sub10",0.3,27,90,100,"left"
3,288.388253600104,288.571656699991,-0.483881771564484,-1.72646152973175,0.0391231315121055,0.0392187145471573,-0.0477301217615604,0.0619592666625977,0.183403099887073,"fixation","sub10",0,90,0,100,"noFix"
