"trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","event","participant","Condition","UVal","LVal","RVal","ChosenITM","CorrectITM","Conf","item"
1,914.735893799458,914.869288799819,0.67866413295269,-1.59784412384033,0.0214015640348196,0.0675560964345932,-0.0264735370874405,-0.0863547027111053,0.133395000360906,"fixation","sub03",0.7,100,63,90,"up","up",4,"noFix"
1,914.885963499546,915.244284799788,0.593057364225388,-0.357125863432884,0.0426208652615547,0.0729512081086636,-0.0439528226852417,-0.1231359988451,0.358321300242096,"fixation","sub03",0.7,100,63,90,"up","up",4,"noFix"
1,915.294288699515,915.360940599814,1.88559834845364,7.80962836742401,0.0465567947018892,0.0741237434148788,-0.0556766020599753,0.0767638683319092,0.0666519002988935,"fixation","sub03",0.7,100,63,90,"up","up",4,"up"
1,915.394284799695,915.602606699802,1.23317398130894,9.91262102127075,0.163326055803895,0.174110513019562,-0.0761446952819824,0.195590019226074,0.208321900106966,"fixation","sub03",0.7,100,63,90,"up","up",4,"up"
1,915.677604099736,915.902596100233,9.79000759124756,-3.27878427505493,0.029125287437439,0.0959574580907822,0.04779052734375,-0.159118950366974,0.224992000497878,"fixation","sub03",0.7,100,63,90,"up","up",4,"right"
2,918.669313899707,918.769310899545,0.504740864038467,-0.721396371722221,0.0183636848732829,0.0687168343663216,-0.0332958102226257,0.0564145892858505,0.0999969998374581,"fixation","sub03",0.85,90,76,100,"up","right",4,"noFix"
2,918.83597579971,919.202646599617,7.56596779823303,-2.67788988351822,0.072917671751976,0.0379553792238235,0.104825735092163,-0.0588734149932861,0.366670799907297,"fixation","sub03",0.85,90,76,100,"up","right",4,"right"
2,919.277645799797,919.435970999766,0.868701010942459,9.09225845336914,0.0841983919322491,0.107435817432404,-0.126576844602823,0.103323936462402,0.158325199969113,"fixation","sub03",0.85,90,76,100,"up","right",4,"up"
2,919.510973699857,919.744301699568,-8.0235401391983,-3.93675744533539,0.0884610440254211,0.0669592464923859,-0.036144495010376,-0.105102777481079,0.233327999711037,"fixation","sub03",0.85,90,76,100,"up","right",4,"left"
2,919.82765519945,919.944327800069,0.712841041386127,8.19199514389038,0.0447239847578108,0.114418449211121,0.0819183811545372,-0.141614198684692,0.116672600619495,"fixation","sub03",0.85,90,76,100,"up","right",4,"up"
2,920.027658999432,920.30264930008,9.66334700584412,-4.29797857999802,0.0302048134803772,0.0642720078349113,-0.0282676219940186,-0.141026437282562,0.274990300647914,"fixation","sub03",0.85,90,76,100,"up","right",4,"right"
3,923.210866099689,923.377606600057,0.39884640276432,-0.826703757047653,0.0374114628195763,0.0566619722396135,-0.0415815114974976,0.0347332209348679,0.166740500368178,"fixation","sub03",0.5,45,90,100,"right","right",4,"noFix"
3,923.427592500113,923.694298400078,7.01456320285797,0.457552812993526,0.052435308766365,0.0348231321126223,0.056888222694397,-0.0478869676589966,0.266705899965018,"fixation","sub03",0.5,45,90,100,"right","right",4,"noFix"
3,923.752618799917,923.885960799642,1.16947771608829,8.58971357345581,0.0750364106185734,0.175798730564117,-0.0714239478111267,0.102653741836548,0.133341999724507,"fixation","sub03",0.5,45,90,100,"right","right",4,"up"
3,923.969287699554,924.110954400152,-8.4041759967804,-6.01970934867859,0.0558023766517639,0.047361642408371,-0.0351318120956421,-0.0937422513961792,0.141666700597852,"fixation","sub03",0.5,45,90,100,"right","right",4,"left"
3,924.194277999457,924.477599099744,8.57712757587433,-4.40694224834442,0.051812831568718,0.0564644435405731,0.0489307641983032,-0.038519024848938,0.283321100287139,"fixation","sub03",0.5,45,90,100,"right","right",4,"right"
3,924.552616399713,924.552616399713,-7.83287858963013,-5.92336750030518,0,0,-0.257449865341187,0.0295975208282471,0,"blink","sub03",0.5,45,90,100,"right","right",4,"left"
4,928.777522699907,928.835858999752,0.598381400108337,-0.725016236305237,0.012627344083786,0.0492163929283619,0.0248029977083206,0.0506979823112488,0.0583362998440862,"fixation","sub03",0.3,100,90,27,"up","up",4,"noFix"
4,929.119188999757,929.127525899559,0.855869337916374,-2.11282098293304,0,0,-0.00784135609865189,-0.285147801041603,0.00833689980208874,"blink","sub03",0.3,100,90,27,"up","up",4,"noFix"
4,929.152527700178,929.260850800201,0.814708322286606,-0.893432885408401,0.0262114905864,0.0549346731305122,0.0404411852359772,-0.181938022375107,0.108323100022972,"fixation","sub03",0.3,100,90,27,"up","up",4,"noFix"
4,929.310846999288,929.502509999555,0.90567272901535,8.1894965171814,0.0315258543133736,0.0765176825523376,0.0505919009447098,0.0849072933197021,0.191663000266999,"fixation","sub03",0.3,100,90,27,"up","up",4,"up"
4,929.569170299917,929.752474499866,-6.99613642692566,-5.29191529750824,0.0555473412752151,0.0312894649744034,-0.0500658750534058,-0.12800920009613,0.183304199948907,"fixation","sub03",0.3,100,90,27,"up","up",4,"left"
4,929.835826699622,930.152506100014,-0.398160994052887,8.61919832229614,0.0543380772516131,0.137827268028259,0.0703260526061058,0.130910634994507,0.316679400391877,"fixation","sub03",0.3,100,90,27,"up","up",4,"up"
5,932.502509699669,932.935821999796,0.448515944182873,-1.08244325220585,0.0411303642019629,0.0535667962789535,-0.0484220162034035,0.0614092350006104,0.433312300127,"fixation","sub03",0.85,90,100,76,"left","left",4,"noFix"
5,932.994150800165,933.160826799925,-8.63148236274719,-6.48419237136841,0.0578479618549347,0.0565605899333954,-0.0676572322845459,0.102969527244568,0.166675999760628,"fixation","sub03",0.85,90,100,76,"left","left",4,"left"
5,933.244149899576,933.510813999921,-0.635922823101282,7.00346744060516,0.0374186042077839,0.124409190559387,-0.0528637319803238,0.107723474502563,0.266664100345224,"fixation","sub03",0.85,90,100,76,"left","left",4,"up"
