"trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","event","participant","Condition","UVal","LVal","RVal","ChosenITM","CorrectITM","Conf","item"
3,489.639696800004,490.073085800002,0.116183903533965,-1.59161567687988,0.0695266542574391,0.0867456085681915,0.035222265869379,-0.0321405827999115,0.433388999997987,"fixation","sub07",0.5,100,90,45,"up","up",4,"noFix"
3,490.131437500007,490.339767199999,0.0828298702836037,6.10850715637207,0.0556342806346714,0.101108182954788,-0.030764386523515,0.0585044622421265,0.208329699991737,"fixation","sub07",0.5,100,90,45,"up","up",4,"up"
3,490.414768400005,490.606432800007,-7.27198934555054,-5.02891039848328,0.0358873480796814,0.0693067030906677,0.0511895418167114,0.106207370758057,0.191664400001173,"fixation","sub07",0.5,100,90,45,"up","up",4,"left"
3,490.7230958,490.856427300008,8.97396731376648,-5.63242495059967,0.0590642844200134,0.0841197869539261,-0.0673670768737793,-0.100387334823608,0.133331500008353,"fixation","sub07",0.5,100,90,45,"up","up",4,"right"
3,490.923073099999,491.106424499987,1.1542172729969,6.74338269233704,0.0255736591279507,0.0460353877544403,0.0802474915981293,-0.056779146194458,0.183351399988169,"fixation","sub07",0.5,100,90,45,"up","up",4,"up"
7,504.656262499993,504.872973699996,0.354688569903374,-2.18535819649696,0.0182222047492862,0.0739278274655342,-0.0219246447086334,-0.0375192165374756,0.216711200002464,"fixation","sub07",0.85,90,76,100,"right","right",3,"noFix"
7,504.914646699996,505.122968299984,0.97023269534111,-0.30494574457407,0.0293195685446262,0.0250459585905075,-0.029438853263855,-0.0401586852967739,0.208321599988267,"fixation","sub07",0.85,90,76,100,"right","right",3,"noFix"
7,505.181302500001,505.389604399999,0.705169171094894,6.80471181869507,0.150600345034897,0.0230258239030838,-0.0592763870954514,-0.0691845417022705,0.208301899998332,"fixation","sub07",0.85,90,76,100,"right","right",3,"up"
7,505.464611599993,505.731266799979,9.49667477607727,-5.64676439762115,0.0611968255519867,0.0601134112358093,0.0826737880706787,-0.0509312152862549,0.266655199986417,"fixation","sub07",0.85,90,76,100,"right","right",3,"right"
7,505.79791139999,506.014602099982,-7.57967233657837,-5.03243589401245,0.0194714119434357,0.0658853761196136,0.0602474212646484,-0.0704395771026611,0.216690699991887,"fixation","sub07",0.85,90,76,100,"right","right",3,"left"
7,506.081296200005,506.256273899999,0.807298436760902,6.48280203342438,0.0564088809996843,0.0428314506053925,-0.0756537467241287,0.0421872138977051,0.174977699993178,"too short","sub07",0.85,90,76,100,"right","right",3,"up"
10,514.981209499994,515.072883500005,0.0459375157952309,-2.23144948482513,0.040420522364974,0.0357823647022247,-0.0813603512942791,-0.0561211705207825,0.0916740000102436,"too short","sub07",0.95,90,100,86,"left","left",1,"noFix"
10,515.43956459999,515.647894299997,0.19355059787631,5.77931022644043,0.0524267848733347,0.0441810348987579,-0.0595335693797097,0.0611060857772827,0.208329700006288,"fixation","sub07",0.95,90,100,86,"left","left",1,"up"
10,515.714559500004,515.956216399994,-7.60784757137299,-5.14200592041016,0.0540936573028564,0.0584266076087952,0.0545858144760132,0.218042850494385,0.24165689999063,"fixation","sub07",0.95,90,100,86,"left","left",1,"left"
10,516.022887599989,516.264568400002,8.930251121521,-5.81614875793457,0.0574046987056732,0.0456218168735504,-0.188534379005432,0.114093065261841,0.241680800012546,"fixation","sub07",0.95,90,100,86,"left","left",1,"right"
10,516.331218899999,516.689510499986,-0.472936822101474,6.24204289913177,0.0380062167394906,0.0488084335327148,0.0761976391077042,-0.0878386497497559,0.358291599986842,"fixation","sub07",0.95,90,100,86,"left","left",1,"up"
11,519.02290180001,519.131231100007,-0.540894836187363,-2.14341932535172,0.0617591007918119,0.0838398312807083,-0.0465537905693054,0.0291158258914948,0.108329299997422,"fixation","sub07",0.95,100,86,90,"up","up",3,"noFix"
11,519.164563400001,519.431232899995,0.219213341362774,-2.52540516853333,0.0538428843906149,0.0915849180936813,-0.0480257272720337,-0.0399820804595947,0.266669499993441,"fixation","sub07",0.95,100,86,90,"up","up",3,"noFix"
11,519.497894100001,519.689575199984,0.948370292782784,3.73067116737366,0.0166969964325428,0.0490938681364059,0.03709776699543,-0.0911550521850586,0.191681099982816,"fixation","sub07",0.95,100,86,90,"up","up",3,"up"
11,519.747875100002,519.931209700007,0.214958453550935,6.92469906806946,0.0411831458542496,0.0428657381057739,0.0396453719586134,0.0728225708007812,0.183334600005765,"fixation","sub07",0.95,100,86,90,"up","up",3,"up"
11,520.014513100003,520.197871700002,9.83768463134766,-6.19690251350403,0.0459795380115509,0.0428830585956573,0.0517575740814209,-0.061821460723877,0.183358599999337,"fixation","sub07",0.95,100,86,90,"up","up",3,"right"
11,520.264543000012,520.5395403,-7.88997983932495,-5.98202037811279,0.0425362953186035,0.0335819555282593,0.155032634735107,0.0825792551040649,0.274997299988172,"fixation","sub07",0.95,100,86,90,"up","up",3,"left"
11,520.606174899993,520.981179099981,-0.813501209020615,4.81021499633789,0.0171244745180011,0.065148194861412,-0.0234483629465103,-0.0430878400802612,0.375004199988325,"fixation","sub07",0.95,100,86,90,"up","up",3,"up"
13,526.547759600013,526.772810299997,0.220221050083637,-2.49960714578629,0.0293183700285852,0.0478472347140312,-0.0741721037775278,-0.0530440211296082,0.225050699984422,"fixation","sub07",0.3,100,27,90,"right","up",4,"noFix"
13,526.797821700005,526.964517200002,0.353084802627563,-2.35356289148331,0.0339671486422419,0.0375324853241444,0.0309633389115334,0.0511537790298462,0.166695499996422,"too short","sub07",0.3,100,27,90,"right","up",4,"noFix"
