"trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","event","participant","Condition","UVal","LVal","RVal","ChosenITM","CorrectITM","Conf","item"
1,268.344214399345,268.777590299491,0.234937228262424,-1.75382217764854,0.0446580194290727,0.15111062566638,0.0886076427996159,0.115986347198486,0.43337590014562,"fixation","sub05",0.95,100,86,90,"up","up",3,"noFix"
1,268.835924400017,269.069218100049,-0.94698691368103,9.68030095100403,0.0324341306403279,0.0897491229057312,-0.0876739472150803,0.1396484375,0.233293700031936,"fixation","sub05",0.95,100,86,90,"up","up",3,"up"
1,269.11092050001,269.244252599776,0.637095905840397,12.3786625862122,0.0534135778087657,0.0408763561248779,0.0464899126673117,-0.129758358001709,0.133332099765539,"fixation","sub05",0.95,100,86,90,"up","up",3,"up"
1,269.31925399974,269.560917299241,8.46846771240234,-6.22137761116028,0.0470247765541077,0.138312948703766,-0.0669116973876953,-0.157127737998962,0.241663299500942,"fixation","sub05",0.95,100,86,90,"up","up",3,"right"
1,269.644199699629,270.019250100013,-7.84407258033752,-5.17986488342285,0.0545178325653076,0.113458752679825,0.0569342374801636,0.0744638442993164,0.37505040038377,"fixation","sub05",0.95,100,86,90,"up","up",3,"left"
1,270.102583600208,270.352580399718,7.47686266899109,-6.1807324886322,0.0673441855430603,0.0730159390211105,0.0743855237960815,0.111109375953674,0.249996799509972,"fixation","sub05",0.95,100,86,90,"up","up",3,"right"
1,270.444246899337,271.077543899883,-0.151432044804096,10.2582702636719,0.0396854951217771,0.286662591075897,-0.0531099885702133,0.110548734664917,0.633297000546008,"fixation","sub05",0.95,100,86,90,"up","up",3,"up"
2,273.435786699876,273.519208099693,-0.246081931749359,-0.759367749094963,0.104230029004114,0.184768976926804,0.0927141150459647,-0.22748851776123,0.0834213998168707,"fixation","sub05",0.7,90,63,100,"right","right",4,"noFix"
2,273.585874199867,273.827504999936,-0.631247758865356,4.29904174804688,0.0386698936164379,0.18837128534317,-0.0600952655076981,0.137419700622559,0.241630800068378,"fixation","sub05",0.7,90,63,100,"right","right",4,"up"
2,273.86920679966,274.219198100269,0.01195427775383,11.7435178756714,0.067259836524725,0.0639861313819885,-0.0593572556972504,0.0999495983123779,0.349991300608963,"fixation","sub05",0.7,90,63,100,"right","right",4,"up"
2,274.244182199705,274.369200499728,-0.557273000478745,9.95600461959839,0.0278135751463473,0.0836706913948059,0.0429362151771784,0.133032321929932,0.12501830002293,"fixation","sub05",0.7,90,63,100,"right","right",4,"up"
2,274.427532699425,274.752527499571,8.41031122207642,-5.46337628364563,0.040705272102356,0.128805767154694,0.0642127990722656,-0.136313438415527,0.324994800146669,"fixation","sub05",0.7,90,63,100,"right","right",4,"right"
2,274.835864099674,275.069192899391,-7.09794569015503,-5.35372531414032,0.0340787708044052,0.0765684068441391,-0.0668900012969971,0.0423609018325806,0.233328799717128,"fixation","sub05",0.7,90,63,100,"right","right",4,"left"
2,275.152512200177,275.302511599846,8.29153680801392,-6.05447864532471,0.0473853255271912,0.0814243299007416,-0.056812047958374,0.064513087272644,0.149999399669468,"fixation","sub05",0.7,90,63,100,"right","right",4,"right"
3,280.29408199992,280.677490899805,-0.257825113832951,-1.6364369392395,0.0480058088801801,0.054115131175518,-0.065196493640542,-0.133078873157501,0.383408899884671,"fixation","sub05",0.7,100,90,63,"left","up",3,"noFix"
3,280.735825599637,281.01913530007,-0.95957525074482,10.4930675029755,0.0328160098850727,0.0959880340576172,0.0579253733158112,0.145300626754761,0.283309700433165,"fixation","sub05",0.7,100,90,63,"left","up",3,"up"
3,281.052494799718,281.485822000075,0.78400943428278,12.2216281890869,0.0353388585358858,0.0325444935321808,-0.0514411106705666,-0.0918228626251221,0.433327200356871,"fixation","sub05",0.7,100,90,63,"left","up",3,"up"
3,281.560823199805,281.769155199639,8.26168441772461,-5.7428343296051,0.0304854761123657,0.067374938249588,-0.0436301231384277,-0.153507471084595,0.208331999834627,"fixation","sub05",0.7,100,90,63,"left","up",3,"right"
3,281.852485500276,282.269142800011,-8.72443985939026,-5.23353004455566,0.0470795658588409,0.166547291350365,-0.107571840286255,-0.0907497406005859,0.416657299734652,"fixation","sub05",0.7,100,90,63,"left","up",3,"left"
3,282.377491199877,282.594150499906,-2.05548620223999,11.529061794281,0.114936561620235,0.0680914409637451,0.0834004282951355,-0.0758504867553711,0.216659300029278,"fixation","sub05",0.7,100,90,63,"left","up",3,"up"
4,285.069093700033,285.077480900101,-1.78793179988861,-4.18433737754822,0,0,3.31154471635818,4.20456445217133,0.00838720006868243,"blink","sub05",0.95,86,90,100,"left","right",2,"noFix"
4,285.669135599397,285.760823499877,-2.55538427829742,1.30439168214798,0.03460510160923,0.0801796406149864,0.143310904502869,0.163185745477676,0.091687900479883,"fixation","sub05",0.95,86,90,100,"left","right",2,"noFix"
4,285.810820999555,286.044162499718,-1.05083844065666,10.370866060257,0.0394762905567884,0.162197197294235,-0.0456358641386032,0.176608324050903,0.233341500163078,"fixation","sub05",0.95,86,90,100,"left","right",2,"up"
4,286.069155699573,286.394164400175,-0.0275819003582001,12.0593113899231,0.0395380168944597,0.0665007837295532,0.16965663433075,-0.168266773223877,0.325008700601757,"fixation","sub05",0.95,86,90,100,"left","right",2,"up"
4,286.460863899905,286.677493999712,9.54331231117249,-6.1633734703064,0.0508897201538086,0.0682796687364578,-0.0737118721008301,-0.188079595565796,0.216630099806935,"fixation","sub05",0.95,86,90,100,"left","right",2,"right"
4,286.760840000119,287.069172699936,-9.11328506469727,-5.66245603561401,0.0460385690689087,0.098942768239975,-0.157657623291016,-0.0724021196365356,0.308332699816674,"fixation","sub05",0.95,86,90,100,"left","right",2,"left"
