"trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","event","participant","Condition","UVal","LVal","RVal","item"
1,676.022201199783,676.138856399804,-0.185930480249226,-1.60810366272926,0.0147299305994064,0.0479889357626438,0.0368345305323601,-0.0533656626939774,0.116655200021341,"fixation","sub01",0.3,90,100,27,"noFix"
1,676.18884229986,676.505509300157,-2.39706802368164,3.72023838758469,0.0482779493451118,0.184242646121979,-0.06890869140625,0.143882274627686,0.316667000297457,"fixation","sub01",0.3,90,100,27,"noFix"
1,676.563828899991,676.738813999807,0.111650809645653,7.80050110816956,0.0953989054307341,0.196030123186111,0.0716694016009569,0.121012449264526,0.174985099816695,"fixation","sub01",0.3,90,100,27,"up"
1,676.805418399861,677.188759599812,-10.9205508232117,-4.55674767494202,0.182854179096222,0.0597005473136902,-0.0798075199127197,-0.140079855918884,0.383341199951246,"fixation","sub01",0.3,90,100,27,"left"
2,682.747048899997,683.130397399887,0.0433684885501862,-0.962211512494832,0.0595528094999492,0.155918276004028,-0.114431716501713,-0.192560585215688,0.383348499890417,"fixation","sub01",0.7,63,100,90,"noFix"
2,683.188747099834,683.247036200017,-0.829494848847389,7.00375127792358,0.0717377354711294,0.388493285894394,-0.0657343231141567,0.317686796188354,0.058289100183174,"fixation","sub01",0.7,63,100,90,"up"
2,683.255386299919,683.263731600018,-0.723946124315262,6.53457736968994,0,0,0.0653081238269806,0.306156516075134,0.00834530009888113,"blink","sub01",0.7,63,100,90,"up"
2,683.272069199942,683.372072999831,-0.782752610743046,6.43177568912506,0.0365589147269726,0.300663202571869,-0.0637253671884537,0.222182273864746,0.100003799889237,"fixation","sub01",0.7,63,100,90,"up"
2,683.455395899946,683.663723099977,-9.98780250549316,-5.3083598613739,0.0424931708335876,0.0514436223506927,-0.0647459030151367,-0.121517777442932,0.208327200030908,"fixation","sub01",0.7,63,100,90,"left"
2,683.755402700044,684.147059099749,10.807724237442,-5.91850674152374,0.0555754428863525,0.0939549973726272,0.0633225440979004,-0.0552117824554443,0.391656399704516,"fixation","sub01",0.7,63,100,90,"right"
3,686.780252600089,686.822003499838,0.301230400800705,-1.38111460208893,0.0305377965845168,0.0538041245475411,0.0712298359721899,0.212459087371826,0.0417508997488767,"fixation","sub01",0.95,86,90,100,"noFix"
3,687.372023300268,687.472018799977,-5.44646143913269,-1.11341056227684,0.0162528053998947,0.253070362553,0.0254055261611938,0.188615456223488,0.0999954997096211,"fixation","sub01",0.95,86,90,100,"noFix"
3,687.555347699672,687.738685800228,11.0306615829468,-5.69443869590759,0.0292267360210419,0.101163325738907,0.146278142929077,0.0704919099807739,0.183338100556284,"fixation","sub01",0.95,86,90,100,"right"
3,687.771966800094,687.771966800094,2.9520515203476,6.87150859832764,0,0,2.13398677110672,-3.48134298622608,0,"blink","sub01",0.95,86,90,100,"up"
4,690.238567000022,690.363646900048,0.127877749502659,-0.80669379234314,0.0254489803209901,0.0735083358049393,-0.0304020643234253,-0.0571447461843491,0.125079900026321,"fixation","sub01",0.85,100,76,90,"noFix"
4,690.413639799925,690.638642999809,-2.31819796562195,3.3368684053421,0.0368629511833191,0.12437914481163,-0.0539224743843079,-0.141919791698456,0.225003199884668,"fixation","sub01",0.85,100,76,90,"noFix"
4,690.696969300043,690.846970200073,-0.831794559955597,7.29541563987732,0.117336421537399,0.192727742028236,0.0767051428556442,0.189227819442749,0.150000900030136,"fixation","sub01",0.85,100,76,90,"up"
4,690.930295299971,691.246910299873,10.906010389328,-5.09625852108002,0.0701391470432281,0.0448268417358398,0.078934907913208,-0.128059267997742,0.316614999901503,"fixation","sub01",0.85,100,76,90,"right"
4,691.338633399922,691.546907500131,-10.5087766647339,-6.26479029655457,0.0667482192993164,0.0603371636867523,-0.0801870822906494,0.0336421728134155,0.208274100208655,"fixation","sub01",0.85,100,76,90,"left"
5,695.43855789979,695.921908099903,-0.287013634573668,-0.823977394029498,0.0555815079574473,0.136383525663614,0.0946260264609009,0.175014948472381,0.483350200112909,"fixation","sub01",0.7,90,100,63,"noFix"
5,695.980193599826,696.196894200053,9.82600116729736,-4.58914768695831,0.0828700605869293,0.117670813035965,0.125580310821533,-0.179103076457977,0.216700600227341,"fixation","sub01",0.7,90,100,63,"right"
5,696.280184000032,696.488547000103,-10.8282752037048,-6.05996322631836,0.0615951968193054,0.0708294922828674,-0.139199256896973,-0.0701448917388916,0.208363000070676,"fixation","sub01",0.7,90,100,63,"left"
5,696.580181999831,696.680220100097,0.23440102301538,7.15666007995605,0.0636896091241389,0.0502421459197998,0.148998495191336,-0.113986492156982,0.100038100266829,"fixation","sub01",0.7,90,100,63,"up"
6,699.680210300023,699.988507899921,0.0131981372833252,-0.96076026558876,0.089816052018106,0.0806091622531414,-0.0831752084195614,0.142226547002792,0.308297599898651,"fixation","sub01",0.5,100,90,45,"noFix"
6,700.238535800017,700.413532400038,-7.45822405815125,-3.29364764690399,0.0451640610694885,0.260138028216362,-0.0600349903106689,-0.281783580780029,0.174996600020677,"fixation","sub01",0.5,100,90,45,"left"
6,700.480208799941,700.788501000032,-0.988832503557205,7.4025354385376,0.0328483974337578,0.146834276247025,-0.0743573158979416,0.291517019271851,0.308292200090364,"fixation","sub01",0.5,100,90,45,"up"
6,700.863538400037,700.896839699941,-11.6268048286438,-5.97410845756531,0.107630938053131,0.14211497297287,-0.0740642547607422,-0.192230820655823,0.0333012999035418,"too short","sub01",0.5,100,90,45,"left"
7,707.35511249979,707.838437699946,-0.318029535934329,-0.813999928534031,0.0792288797940127,0.0944878344073892,0.0525948172435164,0.121290817856789,0.483325200155377,"fixation","sub01",0,90,0,100,"noFix"
7,707.896784500219,708.138409199892,8.99551677703857,-4.18473315238953,0.0549314034461975,0.192087767601013,0.0972929000854492,0.100998759269714,0.241624699672684,"fixation","sub01",0,90,0,100,"right"
7,708.230123799993,708.521779499948,0.408538162708282,8.42040276527405,0.0618646254345775,0.0480477458953857,-0.0711206533014774,0.125211834907532,0.291655699955299,"fixation","sub01",0,90,0,100,"up"
7,708.621758399997,708.821728599956,10.4460601806641,-3.70967471599579,0.024696190738678,0.0615078874111175,0.0376396179199219,-0.138081252574921,0.199970199959353,"fixation","sub01",0,90,0,100,"right"
8,712.504920199979,712.988325900165,-0.0514411404728889,-0.805130213499069,0.0718168706685305,0.113982189372182,0.0897354558110237,0.208097234368324,0.483405700186267,"fixation","sub01",0.85,76,100,90,"noFix"
8,713.038326499984,713.263311500195,-9.38610887527466,-4.30709671974182,0.0599359645843506,0.12179379658699,-0.0928678512573242,0.13341498374939,0.224985000211746,"fixation","sub01",0.85,76,100,90,"left"
8,713.346647999948,713.646635000128,9.71446132659912,-5.4255998134613,0.056792472410202,0.0441334919214249,0.126451253890991,-0.102609157562256,0.299987000180408,"fixation","sub01",0.85,76,100,90,"right"
8,713.729964399943,713.87991690007,-9.58279037475586,-5.46393132209778,0.0604852715492249,0.0738061421871185,-0.119437217712402,-0.0484151840209961,0.149952500127256,"fixation","sub01",0.85,76,100,90,"left"
9,716.529972699936,717.004956000019,-0.247097731567919,-1.27391384541988,0.0343100692117587,0.100236447559297,-0.125809343531728,0.137756459414959,0.474983300082386,"fixation","sub01",0.85,76,90,100,"noFix"
9,717.054984099697,717.321650400059,-9.7919864654541,-2.89191484451294,0.0661324582099914,0.145066083991528,-0.119838714599609,0.141727060079575,0.266666300361976,"fixation","sub01",0.85,76,90,100,"left"
9,717.404981500003,717.554991299985,-0.657298311591148,7.58283936977386,0.0391429153114557,0.148612277555466,0.0965120457112789,0.241918802261353,0.15000979998149,"fixation","sub01",0.85,76,90,100,"up"
9,717.655005400069,717.796619100031,11.0169386863708,-5.58929967880249,0.122636844921112,0.0966131623506546,0.050809383392334,-0.161320805549622,0.141613699961454,"fixation","sub01",0.85,76,90,100,"right"
10,722.396520499839,722.82984260004,0.140788774238899,-1.04060769826174,0.0390260009691585,0.152227587385476,0.0837688376195729,0.207942575216293,0.433322100201622,"fixation","sub01",0.95,100,90,86,"noFix"
10,722.888158499962,723.079848099966,-10.3976459503174,-4.20947194099426,0.082707106590271,0.0911725843906403,-0.124060153961182,0.0948923230171204,0.191689600003883,"fixation","sub01",0.95,100,90,86,"left"
10,723.171502199955,723.429854899878,-0.147365608252585,7.30944275856018,0.107424350064062,0.0905122848987579,0.0763500891625881,-0.134771347045898,0.258352699922398,"fixation","sub01",0.95,100,90,86,"up"
10,723.50485559972,723.77987229987,10.9564237594604,-3.62254703044891,0.0300832165718079,0.074893444776535,0.0506162643432617,-0.188757479190826,0.275016700150445,"fixation","sub01",0.95,100,90,86,"right"
10,723.863194399979,723.946540199686,-9.21108388900757,-5.45345067977905,0.0261984781265259,0.069305996131897,-0.0949954986572266,0.0891543626785278,0.0833457997068763,"fixation","sub01",0.95,100,90,86,"left"
11,726.221538500162,726.279857399873,0.0344337224960327,-1.6638999581337,0.045991379570961,0.133183167493343,0.0292398780584335,0.55473655462265,0.058318899711594,"too short","sub01",0.5,90,45,100,"noFix"
11,726.504889399977,726.679882700089,0.334095943719149,-1.70849621389061,0.0689115158993751,1.11738032567706,0.126615263521671,-0.417716681025922,0.174993300111964,"fixation","sub01",0.5,90,45,100,"noFix"
11,726.729822899913,726.90487699979,-10.9940218925476,-4.83337545394897,0.0659323888778686,0.0884440770149231,-0.172202587127686,0.117994427680969,0.175054099876434,"fixation","sub01",0.5,90,45,100,"left"
11,727.029872899875,727.171535999747,-0.559500329196453,8.26595187187195,0.03990492849648,0.165095374774933,-0.0595638826489449,-0.396110415458679,0.141663099871948,"fixation","sub01",0.5,90,45,100,"up"
12,729.571439499967,729.629826100077,-0.656739845871925,-1.41138458251953,0.0225759992927313,0.0377544703781605,0.0219545811414719,-0.120409160852432,0.0583866001106799,"fixation","sub01",0.5,100,45,90,"noFix"
12,729.654836300062,730.07980229985,0.179447464644909,-1.58573716878891,0.0510346577480435,0.0867739752888679,0.0661475956439972,-0.157827347517014,0.424965999787673,"fixation","sub01",0.5,100,45,90,"noFix"
12,730.138167799916,730.296471999958,10.3071265220642,-5.18573546409607,0.104047364044189,0.120760929822922,0.0972256660461426,-0.145583510398865,0.158304200042039,"fixation","sub01",0.5,100,45,90,"right"
12,730.329809700139,730.329809700139,4.10047650337219,5.03451585769653,0,0,1.63798546791077,-3.55296015739441,0,"blink","sub01",0.5,100,45,90,"noFix"
13,740.787921500159,740.837989800144,-0.433519929647446,-2.52280855178833,0.0732917192190885,0.382626588535309,-0.102953019551933,-0.411795347929001,0.0500682999845594,"fixation","sub01",0.5,45,90,100,"noFix"
13,740.846285199979,740.85465039988,-0.227180421352386,-1.93691074848175,0,0,-0.0047162682749331,0.329795211553574,0.00836519990116358,"blink","sub01",0.5,45,90,100,"noFix"
13,740.862987699918,740.871313699754,-0.393567249178886,-1.85674710571766,0,0,-0.254231801722199,-0.0229605659842491,0.00832599983550608,"blink","sub01",0.5,45,90,100,"noFix"
13,740.87965350016,740.937990199775,-0.256423528771847,-1.52324473485351,0.0881481581574306,0.319746217649197,0.245203622616827,-0.355208821594715,0.0583366996143013,"fixation","sub01",0.5,45,90,100,"noFix"
13,740.946311699925,741.304642099887,-0.10170790553093,-0.773180219344795,0.0437658954530954,0.163627613762207,0.119860526174307,-0.156562689691782,0.358330399962142,"fixation","sub01",0.5,45,90,100,"noFix"
13,741.354665700113,741.562956900103,10.565761089325,-4.33414936065674,0.0711695394515991,0.197346126937866,-0.11771559715271,-0.135064244270325,0.208291199989617,"fixation","sub01",0.5,45,90,100,"right"
13,741.654656999977,741.879669100046,-9.53303718566895,-5.05306136608124,0.0460389225482941,0.0822244304895401,-0.117180347442627,-0.100964665412903,0.225012100068852,"fixation","sub01",0.5,45,90,100,"left"
14,744.837994399946,744.871326599969,-0.88129585981369,-1.38241386413574,0,0,0.137876868247986,0.358232736587524,0.0333322000224143,"blink","sub01",0.5,45,100,90,"noFix"
14,744.879648499889,744.921325299889,-1.13530689477921,-2.51126778125763,0.0390823598742485,0.332513285851479,0.362659335136414,0.522223889827728,0.04167679999955,"fixation","sub01",0.5,45,100,90,"noFix"
14,744.92964560003,745.321323100012,-1.00842794775963,-1.47553649544716,0.0638886594414711,0.472430335052311,-0.327441513538361,-0.671825259923935,0.391677499981597,"fixation","sub01",0.5,45,100,90,"noFix"
14,745.379638799932,745.596318299882,10.0265135765076,-4.49247574806213,0.0566503736972809,0.137718131268024,0.160816192626953,0.20142126083374,0.21667949995026,"fixation","sub01",0.5,45,100,90,"right"
14,745.671312799677,745.821332599968,-10.3290696144104,-5.59356546401978,0.16332515001297,0.0507974620342255,-0.122835397720337,-0.0676931142807007,0.150019800290465,"fixation","sub01",0.5,45,100,90,"left"
15,747.671289999736,748.204654400004,-0.169937260448933,-1.47853997349739,0,0,0.661331590265036,-0.486457051709294,0.533364400267601,"blink","sub01",0,90,100,0,"noFix"
15,748.212962300051,748.354618999874,-1.16393128037453,-0.144978404045105,0.121119446289539,0.214136961100996,-0.110273078083992,-0.17462644726038,0.141656699823216,"fixation","sub01",0,90,100,0,"noFix"
15,748.39626739989,748.60458880011,-10.9470381736755,-4.77269268035889,0.16041035900116,0.145647292470932,-0.2317795753479,0.170716404914856,0.208321400219575,"fixation","sub01",0,90,100,0,"left"
15,748.671275899746,748.796292199753,0.994155764579773,7.79473376274109,0.182756839710474,0.310832804489136,0.308632975444198,-0.297777414321899,0.125016300007701,"fixation","sub01",0,90,100,0,"up"
15,748.804626500001,748.854620099999,0.860006079077721,7.67601537704468,0.0418413990318775,0.0740581729888916,0.39325262606144,-0.281442999839783,0.0499935999978334,"too short","sub01",0,90,100,0,"up"
15,748.86295380001,748.987899899948,0.877961352467537,7.56805467605591,0.0603406322032213,0.180364800524712,-0.525707140564919,-0.426792025566101,0.124946099938825,"fixation","sub01",0,90,100,0,"up"
16,755.97120140004,756.421206699917,-0.604631505906582,-0.637369539123029,0.0646176775351167,0.129222627050802,-0.0933138132095337,0.164445192087442,0.450005299877375,"fixation","sub01",0,0,100,90,"noFix"
16,756.487868000055,756.75453200005,10.6986603736877,-5.39431381225586,0.107602659702301,0.237471692848206,0.16622257232666,0.202864170074463,0.266663999995217,"fixation","sub01",0,0,100,90,"right"
16,756.821202999912,756.97120280005,-9.99658632278442,-6.35650992393494,0.0582724905967712,0.0519116290569305,-0.345980644226074,0.08359694480896,0.149999800138175,"fixation","sub01",0,0,100,90,"left"
17,759.987748699961,760.487797499867,0.113172896206379,-1.31602458655834,0.0334287629476748,0.114012522321939,-0.0453196242451668,0.249822691082954,0.500048799905926,"fixation","sub01",0.85,90,76,100,"noFix"
17,760.546129299793,760.704463699833,-10.909987449646,-4.84299969673157,0.0415826079368591,0.177114380836487,-0.112650871276855,0.0825459957122803,0.158334400039166,"fixation","sub01",0.85,90,76,100,"left"
17,760.81279299967,761.037795499898,-0.113933936227113,7.3614913225174,0.066113518066518,0.0610633870840073,0.11118496209383,0.140604972839355,0.225002500228584,"fixation","sub01",0.85,90,76,100,"up"
17,761.096117000096,761.421126700239,10.6600527763367,-4.41313004493713,0.0825367295265198,0.122209134864807,0.116338968276978,-0.206081032752991,0.32500970014371,"fixation","sub01",0.85,90,76,100,"right"
17,761.512777999975,761.696100299945,-10.6845216751099,-6.26901841163635,0.0498321098327637,0.0738294718265533,-0.0781593322753906,0.0518889427185059,0.183322299970314,"fixation","sub01",0.85,90,76,100,"left"
18,764.196014599875,764.229389999993,-0.265118096023798,-0.596796872094274,0.0825029501527548,0.059195945825614,0.081738855689764,0.344558050855994,0.0333754001185298,"fixation","sub01",0.7,100,90,63,"noFix"
18,764.829427300021,764.996085199993,9.64723992347717,-4.1458997130394,0.121261810112,0.199002354598045,0.077195405960083,-0.108561456203461,0.166657899972051,"fixation","sub01",0.7,100,90,63,"right"
18,765.121037899749,765.179397499887,0.567630760371685,7.63372921943665,0.0726514796823263,0.0836063581466675,-0.457908060401678,-0.553903102874756,0.0583596001379192,"fixation","sub01",0.7,100,90,63,"up"
18,765.204410699895,765.212719499832,-0.223261177539825,6.23262190818787,0,0,0.371868193149567,0.267431259155273,0.00830879993736744,"blink","sub01",0.7,100,90,63,"up"
18,765.312687699916,765.47100790008,-11.1063039302826,-4.46808302402496,0.0963998375415802,0.0492399434924126,-0.148265361785889,-0.200464904308319,0.158320200163871,"fixation","sub01",0.7,100,90,63,"left"
19,767.729299400002,767.737685999833,-0.584587216377258,-0.503199264407158,0,0,-0.20690401783213,-0.384577967226505,0.00838659983128309,"blink","sub01",0.95,100,86,90,"noFix"
